8/6までの購入数,,,合計購入数,累積販売台数,残,累積販売台数,8/7以降の購入数,Wed Aug 07 2024 00:00:00 GMT+0900 (Japan Standard Time),Wed Aug 14 2024 00:00:00 GMT+0900 (Japan Standard Time),Wed Aug 21 2024 00:00:00 GMT+0900 (Japan Standard Time),返品修理,Wed Aug 28 2024 00:00:00 GMT+0900 (Japan Standard Time),Wed Sep 04 2024 00:00:00 GMT+0900 (Japan Standard Time),Wed Sep 11 2024 00:00:00 GMT+0900 (Japan Standard Time),Wed Sep 18 2024 00:00:00 GMT+0900 (Japan Standard Time),Wed Sep 25 2024 00:00:00 GMT+0900 (Japan Standard Time),Tue Oct 08 2024 00:00:00 GMT+0900 (Japan Standard Time),10/4福山→東京在庫移管,Wed Oct 16 2024 00:00:00 GMT+0900 (Japan Standard Time),Thu Oct 24 2024 00:00:00 GMT+0900 (Japan Standard Time),福山→東京,Wed Oct 30 2024 00:00:00 GMT+0900 (Japan Standard Time),Wed Nov 06 2024 00:00:00 GMT+0900 (Japan Standard Time),Tue Nov 19 2024 00:00:00 GMT+0900 (Japan Standard Time),Wed Nov 27 2024 00:00:00 GMT+0900 (Japan Standard Time),Tue Dec 10 2024 00:00:00 GMT+0900 (Japan Standard Time),Wed Dec 18 2024 00:00:00 GMT+0900 (Japan Standard Time),Tue Dec 24 2024 00:00:00 GMT+0900 (Japan Standard Time),Tue Dec 31 2024 00:00:00 GMT+0900 (Japan Standard Time),Thu Jan 09 2025 00:00:00 GMT+0900 (Japan Standard Time),Sun Jan 19 2025 00:00:00 GMT+0900 (Japan Standard Time),Wed Jan 22 2025 00:00:00 GMT+0900 (Japan Standard Time)
発送済み,広島から発送,6915,スイッチライト,イエロー,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1722816286634-iyaq2ofyma8.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,6916,スイッチライト,ターコイズ,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1722816399352-e7vlucwnvgp.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,6917,スイッチライト,コーラル,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1722816482326-efndtmsdx0k.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,6918,スイッチライト,ターコイズ,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1722816575022-xa1b2l3lejp.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,6919,スイッチライト,コーラル,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1722816660252-hyw0fcnt30j.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,6920,スイッチライト,コーラル,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1722816738915-1w1bu40nqc7.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,6921,スイッチライト,グレー,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1722903494683-vlb90e2cwg.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,6922,スイッチライト,イエロー,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1722903617252-wcc25meeyu.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,6924,スイッチライト,グレー,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1722903710095-fass6qo3hlu.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,6925,スイッチライト,ターコイズ,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1722986879738-7xb0lctl4t5.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,6927,スイッチライト,ターコイズ,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1722986964449-bfar6ketjt.pdf,,,,,,,,,,,,,,,,,,,,,,,
