157.015007,(ドル),※インボイス08・65だけドル,,,,ルカ宛発送管理,ルカ・自社サイト,ルカ・インスタ,ルカ共有スプシ,
182.7675,(ユーロ),,,,,https://docs.google.com/spreadsheets/d/133cDct4krrsJDeXpO9l0fIrd3-ZYDc39u6-JpQvcxv4/edit?gid=825416529#gid=825416529,PS Vita 2000 in khaki schwarz gemoddet - 3DSRenew,https://www.instagram.com/3dsrenew/,Shipping Management,
,,,,,,,,,,
New 3DS LL,販売価格,販売価格(￥),インボイス,日付,,New 2DS LL,販売価格,販売価格(￥),インボイス,日付
,,,,,,,,,,
ネオンオレンジ,115,21018.2625,0041,Sun Sep 08 2024 00:00:00 GMT+0900 (Japan Standard Time),,,,,,
,,,,,,,,,,
ピンクホワイト,108,19738.890000000003,0041,Sun Sep 08 2024 00:00:00 GMT+0900 (Japan Standard Time),,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PSPGO,販売価格,販売価格(￥),インボイス,日付,,,,,,
ブラック,120,21932.100000000002,0009,Mon Jun 24 2024 00:00:00 GMT+0900 (Japan Standard Time),,,,,,
,,,,,,,,,,
,,,,,,,,,,
PSP3000・1000,販売価格,販売価格(￥),インボイス,日付,,,,,,
ランダムカラー,70,12793.725,0009,Mon Jun 24 2024 00:00:00 GMT+0900 (Japan Standard Time),,,,,,
〃,70,12793.725,0036,Tue Aug 27 2024 00:00:00 GMT+0900 (Japan Standard Time),,,,,,
,,,,,,,,,,
バイブラント・ブルー,75,13707.562500000002,0037,Mon Aug 26 2024 00:00:00 GMT+0900 (Japan Standard Time),,,,,,
,,,,,,,,,,
3000ブラック,68,12428.19,0053,Thu Sep 19 2024 00:00:00 GMT+0900 (Japan Standard Time),,,,,,
,,,,,,,,,,
PSP1000 ランダム,35,6396.8625,0077,Tue Nov 05 2024 00:00:00 GMT+0900 (Japan Standard Time),,,,,,
,,,,,,,,,,
,,,,,,,,,,
DSiLL,販売価格,販売価格(￥),インボイス,日付,,,,,,
ランダムカラー,55,10052.212500000001,0009,Mon Jun 24 2024 00:00:00 GMT+0900 (Japan Standard Time),,,,,,
,,,,,,,,,,
,,,,,,,,,,
ゲームボーイカラー,販売価格,販売価格(￥),インボイス,日付,,,,,,
ランダムカラー,48,8772.84,0013,Wed Jul 03 2024 00:00:00 GMT+0900 (Japan Standard Time),,,,,,
,,,,,,,,,,
,,,,,,,,,,
Wii,販売価格,販売価格(￥),インボイス,日付,,,,,,
コントローラー(Pro),10,1827.6750000000002,0013,Wed Jul 03 2024 00:00:00 GMT+0900 (Japan Standard Time),,,,,,
〃,〃,〃,0022,Tue Jul 23 2024 00:00:00 GMT+0900 (Japan Standard Time),,,,,,
,,,,,,,,,,
コンソール,42,7676.235000000001,0022,Tue Jul 23 2024 00:00:00 GMT+0900 (Japan Standard Time),,,,,,
,,,,,,,,,,
モーションコントローラー&ヌンチャク,15,2741.5125000000003,0029,Sat Aug 10 2024 00:00:00 GMT+0900 (Japan Standard Time),,,,,,
,,,,,,,,,,
コントローラー(プラスも)&ヌンチャク,17,3107.0475,0060,Wed Oct 09 2024 00:00:00 GMT+0900 (Japan Standard Time),,,,,,
,,,,,,,,,,
,,,,,,,,,,
PS3,,,,,,,,,,
コントローラー,13,2375.9775,0036,Tue Aug 27 2024 00:00:00 GMT+0900 (Japan Standard Time),,,,,,
コントローラー,14,2558.7450000000003,48・67,9/23・10/24,,,,,,
