取引相手,No.,支払い日,商品名,注文数,商品価格,通貨,商品価格(円),状況,,仕入れ,東京からの発送(仕入れ終了),,数量×商品価格(円),仕入れ合計,還付,送料(1つ550円),還付込み利益,累積利益,,,,,,,,,,,
サミー,352,Tue Jan 20 2026 09:00:00 GMT+0900 (Japan Standard Time),PS Vita2000 シルバー,1,110,ドル,17383.3,complete,,,,,17383.3,22000,0,300,-4916.700000000001,113249.81818181826,,,,,,,,,,,
サミー,355,Sat Jan 31 2026 09:00:00 GMT+0900 (Japan Standard Time),PSP 3000 ランダムカラー,40,68,ドル,10521.64,complete,,,,,420865.6,380000,34545.454545454544,12000,63411.05454545452,326937.27272727276,,,,,,,,,,,
サミー,356,Sat Jan 31 2026 09:00:00 GMT+0900 (Japan Standard Time),3DSLL ランダムカラー,20,120,ドル,18567.6,complete,,,,,371352,355570,32324.545454545456,6000,42106.545454545456,369043.81818181823,,,,,,,,,,,
サミー,357,Sun Feb 01 2026 09:00:00 GMT+0900 (Japan Standard Time),Vita 2000 ランダムカラー,20,115,ドル,17793.949999999997,complete,,,,,355878.99999999994,323510,29410,6000,55778.99999999994,55778.99999999994,,,,,,,,,,,
サミー,359,Tue Feb 03 2026 09:00:00 GMT+0900 (Japan Standard Time),New 2DSLL ターコイズ,4,175,ドル,27217.75,complete,,,,,108871,76200,6927,1200,38398,124161.30909090911,,,,,,,,,,,
サミー,359,Tue Feb 03 2026 09:00:00 GMT+0900 (Japan Standard Time),New 2DSLL ライム,4,188,ドル,29239.64,complete,,,,,116958.56,83730,7612,1200,39640.56,163801.8690909091,,,,,,,,,,,
サミー,359,Tue Feb 03 2026 09:00:00 GMT+0900 (Japan Standard Time),New 2DSLL オレンジ,4,215,ドル,33438.95,complete,,,,,133755.8,109500,9955,1200,33010.79999999999,196812.6690909091,,,,,,,,,,,
サミー,359,Tue Feb 03 2026 09:00:00 GMT+0900 (Japan Standard Time),New 2DSLL ラベンダー,4,235,ドル,36549.55,complete,,,,,146198.2,125720,11429,1200,30707.20000000001,227519.8690909091,,,,,,,,,,,
サミー,359,Tue Feb 03 2026 09:00:00 GMT+0900 (Japan Standard Time),3DS ピンクを除く,20,90,ドル,13997.7,残 14台,,途中,,,279954,250620,22783.636363636364,6000,46117.63636363637,273637.5054545455,,,,,,,,,,,
サミー,362,Mon Feb 16 2026 09:00:00 GMT+0900 (Japan Standard Time),Nintendo64,20,40,ドル,6138.400000000001,complete,,,,,122768.00000000001,101681,3102,11000,13189.000000000015,406530.09636363643,,,,,,,,,,,
サミー,363,Wed Feb 18 2026 09:00:00 GMT+0900 (Japan Standard Time),New 3DS LL ブラック,5,255,ドル,39471.45,complete,,,,,197357.25,175681,15971,2750,34897.25,441427.34636363643,,,,,,,,,,,
サミー,363,Wed Feb 18 2026 09:00:00 GMT+0900 (Japan Standard Time),New 3DS LL ホワイト,10,250,ドル,38697.5,残 1台,,途中,,,386975,285736,13862,5500,109601,551028.3463636364,,,,,,,,,,,
サミー,363,Wed Feb 18 2026 09:00:00 GMT+0900 (Japan Standard Time),New 3DS LL レッド,10,225,ドル,34827.75,残 2台,,途中,,,348277.5,333181,30289,5500,39885.5,590913.8463636364,,,,,,,,,,,
サミー,363,Wed Feb 18 2026 09:00:00 GMT+0900 (Japan Standard Time),New 3DS LL ブルー,10,210,ドル,32505.899999999998,残 1台,,途中,,,325059,314530,20427,5500,25456,616369.8463636364,,,,,,,,,,,
サミー,364,Wed Feb 18 2026 09:00:00 GMT+0900 (Japan Standard Time),Vita 1000 ブラック,10,125,ドル,19348.75,残 1台,,途中,,,193487.5,182460,16587,5500,22114.5,638484.3463636364,,,,,,,,,,,
サミー,364,Wed Feb 18 2026 09:00:00 GMT+0900 (Japan Standard Time),Vita 1000 レッド、ブルー、ホワイト,15,160,ドル,24766.399999999998,complete,,,,,371495.99999999994,339478,24951,8250,48718.99999999994,687203.3463636364,,,,,,,,,,,
